Song,Artist,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id_Spotify,Link_Spotify,type,uri,track_href,analysis_url,Link_YouTube,Questionnaire
Is This Love,Bob Marley,Reggae,0.776,0.559,6,-8.375,0,0.103,0.11,0,0.0671,0.758,122.242,232200,4,6JRLFiX9NJSoRRKxowlBYr,https://open.spotify.com/track/6JRLFiX9NJSoRRKxowlBYr,audio_features,spotify:track:6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/tracks/6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/audio-analysis/6JRLFiX9NJSoRRKxowlBYr,,
I Shot the Sheriff,Bob Marley,Reggae,0.444,0.739,6,-8.554,0,0.085,0.515,0.000444,0.817,0.808,175.898,432600,4,4ADEd6pwcJqYMqMv5HV4Yl,https://open.spotify.com/track/4ADEd6pwcJqYMqMv5HV4Yl,audio_features,spotify:track:4ADEd6pwcJqYMqMv5HV4Yl,https://api.spotify.com/v1/tracks/4ADEd6pwcJqYMqMv5HV4Yl,https://api.spotify.com/v1/audio-analysis/4ADEd6pwcJqYMqMv5HV4Yl,https://youtu.be/2XiYUYcpsT4,5
We will Rock You,Queen,Rock,0.698,0.398,11,-10.584,0,0.0694,0.585,0,0.175,0.512,81.269,122093,4,4fVn54cP0hasdSHuJthQj1,https://open.spotify.com/track/4fVn54cP0hasdSHuJthQj1,audio_features,spotify:track:4fVn54cP0hasdSHuJthQj1,https://api.spotify.com/v1/tracks/4fVn54cP0hasdSHuJthQj1,https://api.spotify.com/v1/audio-analysis/4fVn54cP0hasdSHuJthQj1,https://youtu.be/-tJYN-eG1zk?t=5,3
I want to Break Free,Queen,Rock,0.865,0.4,4,-11.957,1,0.0367,0.0509,0.00189,0.205,0.844,109.16,200973,4,09jZZLarDD6MI3eT3ujsEL,https://open.spotify.com/track/09jZZLarDD6MI3eT3ujsEL,audio_features,spotify:track:09jZZLarDD6MI3eT3ujsEL,https://api.spotify.com/v1/tracks/09jZZLarDD6MI3eT3ujsEL,https://api.spotify.com/v1/audio-analysis/09jZZLarDD6MI3eT3ujsEL,,
Enter Sandman,Metallica,Hard Rock,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,331267,4,5sICkBXVmaCQk5aISGR3x1,https://open.spotify.com/track/5sICkBXVmaCQk5aISGR3x1,audio_features,spotify:track:5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/tracks/5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/audio-analysis/5sICkBXVmaCQk5aISGR3x1,https://youtu.be/CD-E-LDc384?t=40,8
What a wonderful world,Louis Armstrong,Jazz,0.271,0.165,5,-20.652,1,0.0351,0.729,0.0000016,0.118,0.203,77.082,139227,4,29U7stRjqHU6rMiS8BfaI9,https://open.spotify.com/track/29U7stRjqHU6rMiS8BfaI9,audio_features,spotify:track:29U7stRjqHU6rMiS8BfaI9,https://api.spotify.com/v1/tracks/29U7stRjqHU6rMiS8BfaI9,https://api.spotify.com/v1/audio-analysis/29U7stRjqHU6rMiS8BfaI9,https://youtu.be/p-T6aaRV9HY?t=19,1
La Vie En Rose,Edit Piaf,Jazz,0.368,0.278,0,-8.596,0,0.0302,0.981,0,0.272,0.338,82.305,187733,4,3lAun9V0YdTlCSIEXPvfsY,https://open.spotify.com/track/3lAun9V0YdTlCSIEXPvfsY,audio_features,spotify:track:3lAun9V0YdTlCSIEXPvfsY,https://api.spotify.com/v1/tracks/3lAun9V0YdTlCSIEXPvfsY,https://api.spotify.com/v1/audio-analysis/3lAun9V0YdTlCSIEXPvfsY,,
Ipanema Girl,Varios,latin,0.779,0.613,9,-7.24,1,0.0674,0.534,0.0000954,0.118,0.812,152.066,251480,4,7E9DYN1PhD0qpAvKAwWIRn,https://open.spotify.com/track/7E9DYN1PhD0qpAvKAwWIRn,audio_features,spotify:track:7E9DYN1PhD0qpAvKAwWIRn,https://api.spotify.com/v1/tracks/7E9DYN1PhD0qpAvKAwWIRn,https://api.spotify.com/v1/audio-analysis/7E9DYN1PhD0qpAvKAwWIRn,https://youtu.be/8PYKOo_jgJo?t=7,10
19 Días y 500 Noches,Joaquín Sabina,latin,0.706,0.786,4,-4.431,1,0.216,0.696,0,0.272,0.8,87.539,281360,4,5H65WGGLMlGGh17kh77vG4,https://open.spotify.com/track/5H65WGGLMlGGh17kh77vG4,audio_features,spotify:track:5H65WGGLMlGGh17kh77vG4,https://api.spotify.com/v1/tracks/5H65WGGLMlGGh17kh77vG4,https://api.spotify.com/v1/audio-analysis/5H65WGGLMlGGh17kh77vG4,,
No le Pegue a la Negra,Varios,latin,0.787,0.788,0,-9.997,0,0.0462,0.525,0.000175,0.0626,0.872,101.913,276320,4,4VZlzYNRyweaQpDIHE07GD,https://open.spotify.com/track/4VZlzYNRyweaQpDIHE07GD,audio_features,spotify:track:4VZlzYNRyweaQpDIHE07GD,https://api.spotify.com/v1/tracks/4VZlzYNRyweaQpDIHE07GD,https://api.spotify.com/v1/audio-analysis/4VZlzYNRyweaQpDIHE07GD,https://youtu.be/PqmLPeL8aj4?t=10,10
El cuarto de Tula,Varios,latin,0.533,0.715,9,-11.925,1,0.0466,0.618,0.000264,0.295,0.843,104.275,445427,4,0iLFcV2sOXIH8LLGFJL8sO,https://open.spotify.com/track/0iLFcV2sOXIH8LLGFJL8sO,audio_features,spotify:track:0iLFcV2sOXIH8LLGFJL8sO,https://api.spotify.com/v1/tracks/0iLFcV2sOXIH8LLGFJL8sO,https://api.spotify.com/v1/audio-analysis/0iLFcV2sOXIH8LLGFJL8sO,https://youtu.be/XZHF6SDWtU8?t=15,7
Atrevete-Te-Te,Calle 13,Reggaeton,0.829,0.878,9,-5.951,1,0.101,0.0959,0,0.776,0.883,87.991,239307,4,1q8NdCAQ9QUjpYiqzdd3mv,https://open.spotify.com/track/1q8NdCAQ9QUjpYiqzdd3mv,audio_features,spotify:track:1q8NdCAQ9QUjpYiqzdd3mv,https://api.spotify.com/v1/tracks/1q8NdCAQ9QUjpYiqzdd3mv,https://api.spotify.com/v1/audio-analysis/1q8NdCAQ9QUjpYiqzdd3mv,https://youtu.be/vXtJkDHEAAc?t=10,8
Pitbull,El Taxi,Reggaeton,0.869,0.691,7,-6.872,1,0.192,0.12,0,0.102,0.875,95.019,249800,4,1LbGorB0xOfpiXQJFKB2Nd,https://open.spotify.com/track/1LbGorB0xOfpiXQJFKB2Nd,audio_features,spotify:track:1LbGorB0xOfpiXQJFKB2Nd,https://api.spotify.com/v1/tracks/1LbGorB0xOfpiXQJFKB2Nd,https://api.spotify.com/v1/audio-analysis/1LbGorB0xOfpiXQJFKB2Nd,https://youtu.be/UyGQPNywEDY?t=18,9
Clandestino,Manu Chao,latin,0.68,0.594,6,-6.417,0,0.0688,0.469,0,0.431,0.774,85.04,149173,4,51R2M1JgyFfRS3e6v5wCt3,https://open.spotify.com/track/51R2M1JgyFfRS3e6v5wCt3,audio_features,spotify:track:51R2M1JgyFfRS3e6v5wCt3,https://api.spotify.com/v1/tracks/51R2M1JgyFfRS3e6v5wCt3,https://api.spotify.com/v1/audio-analysis/51R2M1JgyFfRS3e6v5wCt3,https://youtu.be/I0PjuPu78rQ?t=13,4
Welcome to Tijuana,Manu Chao,latin,0.642,0.539,2,-9.164,0,0.0584,0.51,0.0000568,0.0896,0.694,142.006,244093,4,15boojE8lD9VfJku7h4rpB,https://open.spotify.com/track/15boojE8lD9VfJku7h4rpB,audio_features,spotify:track:15boojE8lD9VfJku7h4rpB,https://api.spotify.com/v1/tracks/15boojE8lD9VfJku7h4rpB,https://api.spotify.com/v1/audio-analysis/15boojE8lD9VfJku7h4rpB,https://youtu.be/JVmjLGxFJAw?t=6,2
Calaveras y Diablitos,Fabulosos,latin,0.701,0.46,9,-6.141,1,0.0421,0.511,0.0000984,0.214,0.853,92.725,264027,4,67VY2M8IZedcXJcy8LG5EH,https://open.spotify.com/track/67VY2M8IZedcXJcy8LG5EH,audio_features,spotify:track:67VY2M8IZedcXJcy8LG5EH,https://api.spotify.com/v1/tracks/67VY2M8IZedcXJcy8LG5EH,https://api.spotify.com/v1/audio-analysis/67VY2M8IZedcXJcy8LG5EH,https://youtu.be/OZc11vc27f8?t=19,6
Matador,Fabulosos,latin,0.554,0.963,4,-5.439,0,0.106,0.0348,0.029,0.0836,0.662,193.805,274067,4,4S0p4Z0KuVUWm2bxKoGPRJ,https://open.spotify.com/track/4S0p4Z0KuVUWm2bxKoGPRJ,audio_features,spotify:track:4S0p4Z0KuVUWm2bxKoGPRJ,https://api.spotify.com/v1/tracks/4S0p4Z0KuVUWm2bxKoGPRJ,https://api.spotify.com/v1/audio-analysis/4S0p4Z0KuVUWm2bxKoGPRJ,https://youtu.be/pjPA7CXutDw?t=15,8
Persiana Americana,Soda,Rock,0.574,0.938,4,-4.98,0,0.0466,0.0164,0.0000476,0.0804,0.512,100.93,295000,4,4iPA2yB8bK7T770EkkOi7s,https://open.spotify.com/track/4iPA2yB8bK7T770EkkOi7s,audio_features,spotify:track:4iPA2yB8bK7T770EkkOi7s,https://api.spotify.com/v1/tracks/4iPA2yB8bK7T770EkkOi7s,https://api.spotify.com/v1/audio-analysis/4iPA2yB8bK7T770EkkOi7s,https://youtu.be/WSUU_iB9iH8?t=17,7
Las Bodas de Fígaro,Mozart,Instrumental,0.341,0.155,2,-17.002,1,0.0356,0.933,0.923,0.102,0.225,141.828,264573,4,603gmwNwMDuonvQmpFRGE3,https://open.spotify.com/track/603gmwNwMDuonvQmpFRGE3,audio_features,spotify:track:603gmwNwMDuonvQmpFRGE3,https://api.spotify.com/v1/tracks/603gmwNwMDuonvQmpFRGE3,https://api.spotify.com/v1/audio-analysis/603gmwNwMDuonvQmpFRGE3,https://youtu.be/rkw_coO3pl8?t=13,8
Symphony No. 9,Beethoven,Instrumental,0.364,0.189,2,-22.125,0,0.0425,0.964,0.82,0.0769,0.283,111.408,822307,4,6lnttZF0hDaVyVZBEgpJ3I,https://open.spotify.com/track/6lnttZF0hDaVyVZBEgpJ3I,audio_features,spotify:track:6lnttZF0hDaVyVZBEgpJ3I,https://api.spotify.com/v1/tracks/6lnttZF0hDaVyVZBEgpJ3I,https://api.spotify.com/v1/audio-analysis/6lnttZF0hDaVyVZBEgpJ3I,,
Take me Out,Franz Ferdinand,Rock,0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,237027,4,6ooluO7DiEhI1zmK94nRCM,https://open.spotify.com/track/6ooluO7DiEhI1zmK94nRCM,audio_features,spotify:track:6ooluO7DiEhI1zmK94nRCM,https://api.spotify.com/v1/tracks/6ooluO7DiEhI1zmK94nRCM,https://api.spotify.com/v1/audio-analysis/6ooluO7DiEhI1zmK94nRCM,https://youtu.be/GhCXAiNz9Jo?t=3,6
1901,Phoenix,Rock,0.607,0.835,0,-5.427,1,0.0415,0.0588,0.0000471,0.195,0.719,144.087,193120,4,1mvyqSb1tOvtVP1qfWEyPa,https://open.spotify.com/track/1mvyqSb1tOvtVP1qfWEyPa,audio_features,spotify:track:1mvyqSb1tOvtVP1qfWEyPa,https://api.spotify.com/v1/tracks/1mvyqSb1tOvtVP1qfWEyPa,https://api.spotify.com/v1/audio-analysis/1mvyqSb1tOvtVP1qfWEyPa,https://youtu.be/HL548cHH3OY?t=20,6
Mr. Brightside,The Killers,Rock,0.355,0.918,1,-4.36,1,0.0746,0.00119,0,0.0971,0.24,148.114,222200,4,3n3Ppam7vgaVa1iaRUc9Lp,https://open.spotify.com/track/3n3Ppam7vgaVa1iaRUc9Lp,audio_features,spotify:track:3n3Ppam7vgaVa1iaRUc9Lp,https://api.spotify.com/v1/tracks/3n3Ppam7vgaVa1iaRUc9Lp,https://api.spotify.com/v1/audio-analysis/3n3Ppam7vgaVa1iaRUc9Lp,https://youtu.be/gGdGFtwCNBE?t=5,10
Last Nite,Thr Strokes,Rock,0.624,0.91,0,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042,193051,4,7kzKAuUzOITUauHAhoMoxA,https://open.spotify.com/track/7kzKAuUzOITUauHAhoMoxA,audio_features,spotify:track:7kzKAuUzOITUauHAhoMoxA,https://api.spotify.com/v1/tracks/7kzKAuUzOITUauHAhoMoxA,https://api.spotify.com/v1/audio-analysis/7kzKAuUzOITUauHAhoMoxA,,
Girls and Boys,Blur,Dance,0.693,0.875,7,-8.354,0,0.0315,0.00971,0,0.0601,0.901,120.048,259387,4,5CeL9C3bsoe4yzYS1Qz8cw,https://open.spotify.com/track/5CeL9C3bsoe4yzYS1Qz8cw,audio_features,spotify:track:5CeL9C3bsoe4yzYS1Qz8cw,https://api.spotify.com/v1/tracks/5CeL9C3bsoe4yzYS1Qz8cw,https://api.spotify.com/v1/audio-analysis/5CeL9C3bsoe4yzYS1Qz8cw,https://youtu.be/WDswiT87oo8?t=30,9
Sex on Fire,King of Leon,Rock,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,203347,4,0ntQJM78wzOLVeCUAW7Y45,https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45,audio_features,spotify:track:0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/tracks/0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/audio-analysis/0ntQJM78wzOLVeCUAW7Y45,,
Wonderwall,Oasis,Rock,0.407,0.889,6,-4.362,0,0.0325,0.000691,0,0.189,0.699,174.585,258080,4,37QocLRDF8iFO7pMp1RFrF,https://open.spotify.com/track/37QocLRDF8iFO7pMp1RFrF,audio_features,spotify:track:37QocLRDF8iFO7pMp1RFrF,https://api.spotify.com/v1/tracks/37QocLRDF8iFO7pMp1RFrF,https://api.spotify.com/v1/audio-analysis/37QocLRDF8iFO7pMp1RFrF,https://youtu.be/bx1Bh8ZvH84?t=30,3
We Are The People,Empire of the Sun,Dance,0.675,0.781,4,-5.404,0,0.0306,0.0801,0.0143,0.422,0.534,122.989,267373,4,3zEN0ii6s4DHHBpnTp3RP7,https://open.spotify.com/track/3zEN0ii6s4DHHBpnTp3RP7,audio_features,spotify:track:3zEN0ii6s4DHHBpnTp3RP7,https://api.spotify.com/v1/tracks/3zEN0ii6s4DHHBpnTp3RP7,https://api.spotify.com/v1/audio-analysis/3zEN0ii6s4DHHBpnTp3RP7,https://youtu.be/hN5X4kGhAtU?t=40,1
Happy,Pharrell Williams,Pop,0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,232720,4,5b88tNINg4Q4nrRbrCXUmg,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg,audio_features,spotify:track:5b88tNINg4Q4nrRbrCXUmg,https://api.spotify.com/v1/tracks/5b88tNINg4Q4nrRbrCXUmg,https://api.spotify.com/v1/audio-analysis/5b88tNINg4Q4nrRbrCXUmg,https://youtu.be/ZbZSe6N_BXs?t=7,10
I'm Yours,Jason Mraz,Pop,0.686,0.457,11,-8.322,1,0.0468,0.595,0,0.105,0.718,150.953,242187,4,1EzrEOXmMH3G43AXT1y7pA,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA,audio_features,spotify:track:1EzrEOXmMH3G43AXT1y7pA,https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA,https://api.spotify.com/v1/audio-analysis/1EzrEOXmMH3G43AXT1y7pA,https://youtu.be/EkHTsc9PU2A?t=9,8
Uptown Funk,Mark Ronson & Bruno Mars,Pop,0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,269667,4,32OlwWuMpZ6b0aN2RZOeMS,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,,
Wake Me Up,Avicii,Dance,0.518,0.784,2,-5.659,1,0.0524,0.00346,0.00187,0.171,0.588,124.102,247427,4,4h8VwCb1MTGoLKueQ1WgbD,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD,audio_features,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,https://api.spotify.com/v1/tracks/4h8VwCb1MTGoLKueQ1WgbD,https://api.spotify.com/v1/audio-analysis/4h8VwCb1MTGoLKueQ1WgbD,https://youtu.be/IcrbM1l_BoI?t=6,7
Titanium,David Guetta,Dance,0.602,0.796,0,-3.657,0,0.103,0.0682,0.12,0.15,0.265,126.06,245053,4,0TDLuuLlV54CkRRUOahJb4,https://open.spotify.com/track/0TDLuuLlV54CkRRUOahJb4,audio_features,spotify:track:0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/audio-analysis/0TDLuuLlV54CkRRUOahJb4,https://youtu.be/JRfuAukYTKg?t=12,2
Move like Jagger,Maroon 5,Pop,0.722,0.758,11,-4.477,0,0.0471,0.0111,0,0.308,0.62,128.047,201160,4,7LcfRTgAVTs5pQGEQgUEzN,https://open.spotify.com/track/7LcfRTgAVTs5pQGEQgUEzN,audio_features,spotify:track:7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/tracks/7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/audio-analysis/7LcfRTgAVTs5pQGEQgUEzN,,
Somebody That I Used To Know,Gotye & Kimbra,Pop,0.857,0.517,0,-6.972,1,0.0384,0.565,0.000195,0.102,0.754,129.063,244973,4,4wCmqSrbyCgxEXROQE6vtV,https://open.spotify.com/track/4wCmqSrbyCgxEXROQE6vtV,audio_features,spotify:track:4wCmqSrbyCgxEXROQE6vtV,https://api.spotify.com/v1/tracks/4wCmqSrbyCgxEXROQE6vtV,https://api.spotify.com/v1/audio-analysis/4wCmqSrbyCgxEXROQE6vtV,https://youtu.be/8UVNT4wvIGY?t=19,1
Party Rock Anthem,LMFAO,Dance,0.751,0.736,5,-4.168,0,0.156,0.0206,0,0.265,0.352,130.014,262147,4,4650WGL6InVqP7YN5POqIz,https://open.spotify.com/track/4650WGL6InVqP7YN5POqIz,audio_features,spotify:track:4650WGL6InVqP7YN5POqIz,https://api.spotify.com/v1/tracks/4650WGL6InVqP7YN5POqIz,https://api.spotify.com/v1/audio-analysis/4650WGL6InVqP7YN5POqIz,https://youtu.be/zIh5AHxh-Ok?t=27,7
